
X,Numerical t = 4.99994,Analytical t = 4.99994,Numerical t = 9.99994,Analytical t = 9.99994,
-50,0,0,0,0,
-49.99,0,0,0,0,
-49.98,0,0,0,0,
-49.97,0,0,0,0,
-49.96,0,0,0,0,
-49.95,0,0,0,0,
-49.94,0,0,0,0,
-49.93,0,0,0,0,
-49.92,0,0,0,0,
-49.91,0,0,0,0,
-49.9,0,0,0,0,
-49.89,0,0,0,0,
-49.88,0,0,0,0,
-49.87,0,0,0,0,
-49.86,0,0,0,0,
-49.85,0,0,0,0,
-49.84,0,0,0,0,
-49.83,0,0,0,0,
-49.82,0,0,0,0,
-49.81,0,0,0,0,
-49.8,0,0,0,0,
-49.79,0,0,0,0,
-49.78,0,0,0,0,
-49.77,0,0,0,0,
-49.76,0,0,0,0,
-49.75,0,0,0,0,
-49.74,0,0,0,0,
-49.73,0,0,0,0,
-49.72,0,0,0,0,
-49.71,0,0,0,0,
-49.7,0,0,0,0,
-49.69,0,0,0,0,
-49.68,0,0,0,0,
-49.67,0,0,0,0,
-49.66,0,0,0,0,
-49.65,0,0,0,0,
-49.64,0,0,0,0,
-49.63,0,0,0,0,
-49.62,0,0,0,0,
-49.61,0,0,0,0,
-49.6,0,0,0,0,
-49.59,0,0,0,0,
-49.58,0,0,0,0,
-49.57,0,0,0,0,
-49.56,0,0,0,0,
-49.55,0,0,0,0,
-49.54,0,0,0,0,
-49.53,0,0,0,0,
-49.52,0,0,0,0,
-49.51,0,0,0,0,
-49.5,0,0,0,0,
-49.49,0,0,0,0,
-49.48,0,0,0,0,
-49.47,0,0,0,0,
-49.46,0,0,0,0,
-49.45,0,0,0,0,
-49.44,0,0,0,0,
-49.43,0,0,0,0,
-49.42,0,0,0,0,
-49.41,0,0,0,0,
-49.4,0,0,0,0,
-49.39,0,0,0,0,
-49.38,0,0,0,0,
-49.37,0,0,0,0,
-49.36,0,0,0,0,
-49.35,0,0,0,0,
-49.34,0,0,0,0,
-49.33,0,0,0,0,
-49.32,0,0,0,0,
-49.31,0,0,0,0,
-49.3,0,0,0,0,
-49.29,0,0,0,0,
-49.28,0,0,0,0,
-49.27,0,0,0,0,
-49.26,0,0,0,0,
-49.25,0,0,0,0,
-49.24,0,0,0,0,
-49.23,0,0,0,0,
-49.22,0,0,0,0,
-49.21,0,0,0,0,
-49.2,0,0,0,0,
-49.19,0,0,0,0,
-49.18,0,0,0,0,
-49.17,0,0,0,0,
